model,category,AUC-PR_mean,AUC-PR_std,AUC-PR_count,AUC-ROC_mean,AUC-ROC_std,AUC-ROC_count,VUS-PR_mean,VUS-PR_std,VUS-PR_count,VUS-ROC_mean,VUS-ROC_std,VUS-ROC_count,Standard-F1_mean,Standard-F1_std,Standard-F1_count,PA-F1_mean,PA-F1_std,PA-F1_count,Event-based-F1_mean,Event-based-F1_std,Event-based-F1_count,R-based-F1_mean,R-based-F1_std,R-based-F1_count,Affiliation-F_mean,Affiliation-F_std,Affiliation-F_count
LSTMAD,Forecasting,0.4149,0.3156,40,0.8392,0.119,40,0.4053,0.3182,40,0.859,0.111,40,0.5156,0.2841,40,0.808,0.24,40,0.6384,0.2902,40,0.3312,0.2365,40,0.8156,0.1452,40
CNN,Forecasting,0.4092,0.2921,50,0.8307,0.1214,50,0.3835,0.303,50,0.8627,0.1032,50,0.5116,0.2553,50,0.8236,0.2296,50,0.658,0.2833,50,0.3264,0.1605,50,0.832,0.1353,50
KMeansAD,Classical,0.3805,0.4088,50,0.7546,0.2005,50,0.3683,0.4108,50,0.7396,0.1998,50,0.4362,0.361,50,0.709,0.2717,50,0.4797,0.3619,50,0.4373,0.3253,50,0.8007,0.1398,50
TranAD,Transformer,0.3615,0.3051,50,0.803,0.141,50,0.3381,0.2985,50,0.8196,0.1334,50,0.4721,0.2947,50,0.7714,0.2286,50,0.5317,0.3081,50,0.2577,0.2428,50,0.8106,0.1212,50
USAD,Reconstruction,0.3301,0.28,50,0.8344,0.1436,50,0.3269,0.2762,50,0.7957,0.1682,50,0.4602,0.2904,50,0.6555,0.2107,50,0.428,0.279,50,0.3719,0.2414,50,0.822,0.1226,50
MTGFLOW,Density,0.3266,0.357,45,0.7493,0.1776,45,0.3034,0.3566,45,0.7036,0.2416,45,0.3989,0.3312,45,0.5083,0.3603,45,0.3655,0.3633,45,0.3278,0.2665,45,0.7893,0.1314,45
PCA,Classical,0.3208,0.285,50,0.7938,0.1496,50,0.3217,0.3476,50,0.7187,0.2137,50,0.4362,0.2841,50,0.6724,0.2582,50,0.4994,0.3313,50,0.3716,0.2433,50,0.8211,0.1525,50
AutoEncoder,Reconstruction,0.3068,0.3057,50,0.7059,0.1491,50,0.2895,0.3214,50,0.7191,0.1695,50,0.4001,0.3002,50,0.5931,0.3492,50,0.4568,0.4065,50,0.2613,0.2163,50,0.7927,0.1413,50
CBLOF,Classical,0.3061,0.3107,50,0.7156,0.1473,50,0.2365,0.2965,50,0.7083,0.1582,50,0.3806,0.2936,50,0.6196,0.2906,50,0.4388,0.3813,50,0.3035,0.2032,50,0.827,0.1338,50
OFA,Foundation,0.299,0.2789,50,0.7498,0.2626,50,0.3552,0.3069,50,0.7694,0.2582,50,0.3912,0.2631,50,0.7287,0.2373,50,0.5057,0.3357,50,0.3082,0.171,50,0.8397,0.1296,50
EIF,Classical,0.2954,0.283,50,0.6902,0.1528,50,0.2621,0.2648,50,0.7067,0.1651,50,0.3669,0.2749,50,0.7299,0.2681,50,0.482,0.3871,50,0.2792,0.1986,50,0.8262,0.1314,50
IForest,Classical,0.2895,0.2883,10,0.8062,0.1547,10,0.2996,0.314,10,0.7683,0.1929,10,0.3837,0.2933,10,0.7448,0.2671,10,0.4269,0.3329,10,0.2976,0.2533,10,0.8045,0.1394,10
COPOD,Classical,0.2519,0.2938,50,0.678,0.134,50,0.218,0.2733,50,0.6829,0.1473,50,0.3355,0.2774,50,0.7034,0.2612,50,0.4228,0.3893,50,0.2475,0.177,50,0.8126,0.134,50
HBOS,Classical,0.2218,0.2056,50,0.7034,0.1037,50,0.2068,0.2126,50,0.7151,0.115,50,0.3156,0.2175,50,0.7074,0.2912,50,0.4422,0.3846,50,0.2513,0.183,50,0.7949,0.1398,50
KNN,Classical,0.2164,0.2226,50,0.6122,0.1683,50,0.1897,0.2,50,0.642,0.1692,50,0.2909,0.2284,50,0.701,0.2629,50,0.4593,0.3544,50,0.2619,0.1717,50,0.809,0.1188,50
OmniAnomaly,Reconstruction,0.2097,0.2605,50,0.6848,0.163,50,0.2058,0.2602,50,0.7096,0.1492,50,0.3116,0.2788,50,0.5433,0.3475,50,0.3016,0.2868,50,0.1132,0.115,50,0.8077,0.1142,50
TimesNet,Transformer,0.1988,0.2037,50,0.701,0.2324,50,0.2273,0.221,50,0.7521,0.2276,50,0.3007,0.2512,50,0.6078,0.2943,50,0.3114,0.2693,50,0.1668,0.1747,50,0.8111,0.1221,50
FITS,Forecasting,0.197,0.2351,50,0.6822,0.2313,50,0.2231,0.2375,50,0.7429,0.2342,50,0.2845,0.2477,50,0.666,0.2785,50,0.2982,0.2747,50,0.1365,0.1156,50,0.8032,0.1162,50
LOF,Classical,0.1862,0.1692,50,0.6007,0.1087,50,0.1751,0.1606,50,0.6274,0.1135,50,0.2632,0.198,50,0.7172,0.33,50,0.468,0.3332,50,0.2545,0.1745,50,0.8201,0.1162,50
PatchTST,Transformer,0.1734,0.1743,50,0.6914,0.227,50,0.1983,0.1762,50,0.7443,0.2247,50,0.2617,0.2119,50,0.6664,0.3099,50,0.2931,0.2345,50,0.1395,0.13,50,0.8072,0.1125,50
AnomalyTransformer,Transformer,0.079,0.0637,50,0.4804,0.1069,50,0.0824,0.0664,50,0.499,0.1031,50,0.1262,0.0817,50,0.6883,0.328,50,0.4006,0.3387,50,0.1648,0.1145,50,0.7907,0.1481,50
